TYPE,KEYWORD,VALUE,COMMENT,DATATYPE,STATE
keyword,LONPOLE,180,[deg] native longitude of the celestial pole,float,dynamic
keyword,LATPOLE,0,[deg] native latitude of the celestial pole,float,dynamic
keyword,CRVAL1,48.75336316,[deg] RA  of reference point,float,dynamic
keyword,CRVAL2,28.66089364,[deg] DEC of reference point,float,dynamic
keyword,CRPIX1,1024.5,[pixel] X reference pixel,float,dynamic
keyword,CRPIX2,1024.5,[pixel] Y reference pixel,float,dynamic
keyword,CUNIT1,deg,X pixel scale units,str,dynamic
keyword,CUNIT2,deg,Y pixel scale units,str,dynamic
keyword,CD1_1,0.00148858,WCS coordinate description matrix,float,dynamic
keyword,CD1_2,-0.02466224,WCS coordinate description matrix,float,dynamic
keyword,CD2_1,0.024675603,WCS coordinate description matrix,float,dynamic
keyword,CD2_2,0.001474167,WCS coordinate description matrix,float,dynamic
keyword,IMAGEW,2048,"image width,  in pixels.",int,dynamic
keyword,IMAGEH,2048,"image height, in pixels.",int,dynamic
keyword,A_ORDER,2,"polynomial order, axis 1",int,dynamic
keyword,A_0_0,0,distortion coefficient,float,dynamic
keyword,A_0_1,0,distortion coefficient,float,dynamic
keyword,A_0_2,2.07E-06,distortion coefficient,float,dynamic
keyword,A_1_0,0,distortion coefficient,float,dynamic
keyword,A_1_1,-1.30E-06,distortion coefficient,float,dynamic
keyword,A_2_0,2.77E-07,distortion coefficient,float,dynamic
keyword,B_ORDER,2,"polynomial order, axis 2",int,dynamic
keyword,B_0_0,0,distortion coefficient,float,dynamic
keyword,B_0_1,0,distortion coefficient,float,dynamic
keyword,B_0_2,-1.71E-06,distortion coefficient,float,dynamic
keyword,B_1_0,0,distortion coefficient,float,dynamic
keyword,B_1_1,-3.76E-07,distortion coefficient,float,dynamic
keyword,B_2_0,-7.76E-08,distortion coefficient,float,dynamic
keyword,AP_ORDER,2,"inv polynomial order, axis 1",int,dynamic
keyword,AP_0_0,-9.83E-06,distortion coefficient,float,dynamic
keyword,AP_0_1,-6.91E-06,distortion coefficient,float,dynamic
keyword,AP_0_2,-2.07E-06,distortion coefficient,float,dynamic
keyword,AP_1_0,1.48E-06,distortion coefficient,float,dynamic
keyword,AP_1_1,1.30E-06,distortion coefficient,float,dynamic
keyword,AP_2_0,-2.77E-07,distortion coefficient,float,dynamic
keyword,BP_ORDER,2,"inv polynomial order, axis 2",int,dynamic
keyword,BP_0_0,3.75E-06,distortion coefficient,float,dynamic
keyword,BP_0_1,3.57E-06,distortion coefficient,float,dynamic
keyword,BP_0_2,1.71E-06,distortion coefficient,float,dynamic
keyword,BP_1_0,7.73E-07,distortion coefficient,float,dynamic
keyword,BP_1_1,3.76E-07,distortion coefficient,float,dynamic
keyword,BP_2_0,7.76E-08,distortion coefficient,float,dynamic
keyword,CTYPE1A,RA---ZPN,WCS axis X,str,dynamic
keyword,CTYPE2A,DEC--ZPN,WCS axis Y,str,dynamic
keyword,CUNIT1A,deg,"WCS axis X units (theta_x, longitude)",str,dynamic
keyword,CUNIT2A,deg,"WCS axis Y units (theta_y, latitude)",str,dynamic
keyword,PC1_1A,0.994422636,WCS coordinate description matrix,float,dynamic
keyword,PC1_2A,-0.057268618,WCS coordinate description matrix,float,dynamic
keyword,PC2_1A,0.057212852,WCS coordinate description matrix,float,dynamic
keyword,PC2_2A,0.994136111,WCS coordinate description matrix,float,dynamic
keyword,CRPIX1A,495.773,pixel coordinate of reference point,float,dynamic
keyword,CRPIX2A,507.555,pixel coordinate of reference point,float,dynamic
keyword,CRVAL1A,249.3460044,[arcsec] x-coordinate of reference point,float,dynamic
keyword,CRVAL2A,-27.25011692,[arcsec] y-coordinate of reference point,float,dynamic
keyword,CDELT1A,-0.042305,[arcsec] average pixel scale along axis 1,float,dynamic
keyword,CDELT2A,0.042305,[arcsec] average pixel scale along axis 2,float,dynamic
keyword,PV1_1A,0,[deg] native longitude of the reference point,int,dynamic
keyword,PV1_2A,90,[deg] native latitude of the reference point,int,dynamic
keyword,PV1_3A,180,[deg] alias for LONPOLE (has precedence),int,dynamic
keyword,PV2_0A,-1.99E-08,ZPN projection parameters m=0,float,dynamic
keyword,PV2_1A,1.005010009,ZPN projection parameters m=1,float,dynamic
keyword,PV2_2A,0.072958298,ZPN projection parameters m=2,float,dynamic
keyword,PV2_3A,0.275292009,ZPN projection parameters m=3,float,dynamic
keyword,PV2_4A,-0.701880992,ZPN projection parameters m=4,float,dynamic
keyword,PV2_5A,1.97518003,ZPN projection parameters m=5,float,dynamic
keyword,LONPOLEA,180,[deg] native longitude of the celestial pole,int,dynamic
keyword,LATPOLEA,0,[deg] native latitude of the celestial pole,int,dynamic
keyword,WCSNAMEB,Helioprojective Zenith Polynomial,coordinate System,str,dynamic
keyword,CTYPE1B,HPLN-ZPN,WCS axis X,str,dynamic
keyword,CTYPE2B,HPLT-ZPN,WCS axis Y,str,dynamic
keyword,CUNIT1B,deg,"WCS axis X units (theta_x, longitude)",str,dynamic
keyword,CUNIT2B,deg,"WCS axis Y units (theta_y, latitude)",str,dynamic
keyword,CRPIX1B,495.773,X Pixel coordinate of reference point,float,dynamic
keyword,CRPIX2B,507.555,Y Pixel coordinate of reference point,float,dynamic
keyword,PC1_1B,0.977185298,WCS coordinate description matrix,float,dynamic
keyword,PC1_2B,0.193594827,WCS coordinate description matrix,float,dynamic
keyword,PC2_1B,-0.19340631,WCS coordinate description matrix,float,dynamic
keyword,PC2_2B,0.97690374,WCS coordinate description matrix,float,dynamic
keyword,CDELT1B,0.042305,[arcsec] average pixel scale along axis 1,float,dynamic
keyword,CDELT2B,0.042305,[arcsec] average pixel scale along axis 2,float,dynamic
keyword,CRVAL1B,31.96918657,[arcsec] x-coordinate of reference point,float,dynamic
keyword,CRVAL2B,-7.215190506,[arcsec] y-coordinate of reference point,float,dynamic
keyword,PV1_1B,0,[deg] native longitude of the reference point,int,dynamic
keyword,PV1_2B,90,[deg] native latitude of the reference point,int,dynamic
keyword,PV1_3B,180,[deg] alias for LONPOLE (has precedence),int,dynamic
keyword,PV2_0B,-1.99E-08,ZPN projection parameters m=0,float,dynamic
keyword,PV2_1B,1.005010009,ZPN projection parameters m=1,float,dynamic
keyword,PV2_2B,0.072958298,ZPN projection parameters m=2,float,dynamic
keyword,PV2_3B,0.275292009,ZPN projection parameters m=3,float,dynamic
keyword,PV2_4B,-0.701880992,ZPN projection parameters m=4,float,dynamic
keyword,PV2_5B,1.97518003,ZPN projection parameters m=5,float,dynamic
keyword,LONPOLEB,180,[deg] native longitude of the celestial pole,int,dynamic
keyword,LATPOLEB,0,[deg] native latitude of the celestial pole,int,dynamic
section,COMMENT,----- Camera and Readout State -----------------------------------------,,str,static
keyword,DETECTOR,CCD 2Kx2K,CCD detector 2048x2048 pixels,str,dynamic
keyword,EXPTIME,3,[s] commanded exposure time,float,dynamic
keyword,OBT_BEG,317813545.8,MET when first pixel of first image received,float,dynamic
keyword,OBT_END,317813586.4,MET when first pixel of last image is received,float,dynamic
keyword,NSUMEXP,3,total number images stacked on onboard,int,dynamic
keyword,NSUMBAD,0,number of images with invalid pixel counts,int,dynamic
keyword,READTIME,2.4576,[s] time to readout raw image from camera,float,dynamic
keyword,TELAPSE,48.1296,[s] time between begin and end of exposure,float,dynamic
keyword,REGION,1,region,int,dynamic
keyword,READOUT0,3,readout region if region=0,int,dynamic
keyword,CAMERA,FMCFMD,detector name (TBD),str,dynamic
keyword,PXBEG1,1,first read-out detector row,int,dynamic
keyword,PXEND1,2048,last read-out detector row,int,dynamic
keyword,PXBEG2,1,first read-out detector column,int,dynamic
keyword,PXEND2,2048,last read-out detector column,int,dynamic
keyword,NBIN1,1,number of pixels binned along axis1,int,dynamic
keyword,NBIN2,1,number of pixels binned along axis2,int,dynamic
keyword,NBIN,1,number of pixels binned,int,dynamic
keyword,DSTART1,1,first column of image array on data array,int,dynamic
keyword,DSTOP1,2048,last column of image array on data array,int,dynamic
keyword,DSTART2,1,first row of image area on data array,int,dynamic
keyword,DSTOP2,2048,last row of image area on data array,int,dynamic
keyword,IMGCTR,8370,image counter from IDPU,int,dynamic
keyword,LEDSTATE,Off,state of LED (TBD),str,dynamic
keyword,LEDDAC,0,last commanded setting of LED,int,dynamic
keyword,OFFSET,40,commanded offset value used in camera,int,dynamic
keyword,GAINCMD,12,commanded gain value,int,dynamic
keyword,XFBYTES,1374028,number of bytes sent,int,dynamic
section,COMMENT,----- Onboard Image Processing -----------------------------------------,,str,static
keyword,RAWBITS,,[bits] raw image bits per pixel,int,dynamic
keyword,COMPBITS,,[bits] compressed image bits per pixel,int,dynamic
keyword,SQRTCODE,,square-root coding table name,str,dynamic
keyword,COMPRESS,,image compression type,str,dynamic
keyword,COMP_RAT,,compressed/uncompressed data ratio,float,dynamic
section,COMMENT,----- Solar Reference Data ---------------------------------------------,,str,static
keyword,RSUN_ARC,,[arcsec] photospheric solar radius,float,dynamic
keyword,RSUN_REF,,[m] assumed physical solar radius,float,dynamic
keyword,SOLAR_EP,,[deg] S/C ecliptic North to solar North angle,float,dynamic
keyword,CAR_ROT,,Carrington Rotation number,int,dynamic
section,COMMENT,----- Spacecraft Location & Environment --------------------------------,,str,static
keyword,GEOD_LAT,,[deg] S/C sub-point geodetic latitude,float,dynamic
keyword,GEOD_LON,,[deg] S/C sub-point longitude,float,dynamic
keyword,GEOD_ALT,,[m] S/C WGS84 altitude,float,dynamic
keyword,LOS_ALT,,[m] line-of-sight altitude above Earth,float,dynamic
keyword,HGLT_OBS,,[deg] S/C heliographic latitude,float,dynamic
keyword,HGLN_OBS,,[deg] S/C heliographic longitude (B0),float,dynamic
keyword,CRLT_OBS,,[deg] S/C Carrington latitude (B0),float,dynamic
keyword,CRLN_OBS,,[deg] S/C Carrington longitude,float,dynamic
keyword,DSUN_OBS,,[m] S/C distance from Sun,float,dynamic
keyword,HEEX_OBS,,[m] S/C Heliocentric Earth Ecliptic X,float,dynamic
keyword,HEEY_OBS,,[m] S/C Heliocentric Earth Ecliptic Y,float,dynamic
keyword,HEEZ_OBS,,[m] S/C Heliocentric Earth Ecliptic Z,float,dynamic
keyword,HCIX_OBS,,[m] S/C Heliocentric Inertial X,float,dynamic
keyword,HCIY_OBS,,[m] S/C Heliocentric Inertial Y,float,dynamic
keyword,HCIZ_OBS,,[m] S/C Heliocentric Inertial Z,float,dynamic
keyword,HCIX_VOB,,[m/s] S/C Heliocentric Inertial X Velocity,float,dynamic
keyword,HCIY_VOB,,[m/s] S/C Heliocentric Inertial Y Velocity,float,dynamic
keyword,HCIZ_VOB,,[m/s] S/C Heliocentric Inertial Z Velocity,float,dynamic
keyword,HAEX_OBS,,[m] S/C Heliocentric Aries Ecliptic X,float,dynamic
keyword,HAEY_OBS,,[m] S/C Heliocentric Aries Ecliptic Y,float,dynamic
keyword,HAEZ_OBS,,[m] S/C Heliocentric Aries Ecliptic Z,float,dynamic
keyword,HEQX_OBS,,[m] S/C Heliocentric Earth Equatorial X,float,dynamic
keyword,HEQY_OBS,,[m] S/C Heliocentric Earth Equatorial Y,float,dynamic
keyword,HEQZ_OBS,,[m] S/C Heliocentric Earth Equatorial Z,float,dynamic
section,COMMENT,----- FIXITY -----------------------------------------------------------,,str,static
keyword,CHECKSUM,,HDU checksum updated 2022-03-23T12:35:22,str,dynamic
keyword,DATASUM,,data unit checksum updated 2022-03-23T12:35:22,int,dynamic
section,COMMENT,----- HISTORY ----------------------------------------------------------,,str,static
keyword,HISTORY,Records of processing from pipeline,,str,dynamic
